airport_name,country,iata,status
McGee 01 Heliport,US,N/A,Ghost Airport
Lantana Ranch Airport,US,N/A,Ghost Airport
Vassar Hospital Heliport,US,N/A,Ghost Airport
Atrium Medical Center Heliport,US,N/A,Ghost Airport
Avita Health System Galion Hospital Heliport,US,N/A,Ghost Airport
Spring Creek Ranch East Airport,US,N/A,Ghost Airport
Bierly(Personal Use) Airport,US,N/A,Ghost Airport
Nort's Resort Airport,US,N/A,Ghost Airport
York Airport,US,N/A,Ghost Airport
Thirty Thirty Matlock Office Center Heliport,US,N/A,Ghost Airport
Smith Field,US,N/A,Ghost Airport
Colonial Air Park,US,N/A,Ghost Airport
Clute Fire & EMS Station #1 Heliport,US,N/A,Ghost Airport
Duckwater Airport,US,N/A,Ghost Airport
La Sal Junction Airport,US,N/A,Ghost Airport
Pickles Airport,US,N/A,Ghost Airport
Willapa Harbor Heliport,US,N/A,Ghost Airport
Prehn Cranberry Company Airport,US,N/A,Ghost Airport
Whidbey General Hospital Heliport,US,N/A,Ghost Airport
Odyssey Heliport,US,N/A,Ghost Airport
Keyhole Airport,US,N/A,Ghost Airport
Ascension Seton Hays Heliport,US,N/A,Ghost Airport
Meadowood Ranch Heliport,US,N/A,Ghost Airport
Barefoot Airport,US,N/A,Ghost Airport
Rustic Wilderness Airport,US,N/A,Ghost Airport
Bass Field,US,N/A,Ghost Airport
Emerald Ridge Airport,US,N/A,Ghost Airport
Swepi Beta Platform Ellen Heliport,US,N/A,Ghost Airport
Shannon Field,US,N/A,Ghost Airport
Conover Air Lodge Airport,US,N/A,Ghost Airport
Mc Cullough Airport,US,N/A,Ghost Airport
Strangers Point Heliport,US,N/A,Ghost Airport
Osborn Airfield,US,N/A,Ghost Airport
Triple R Ranch Airport,US,N/A,Ghost Airport
Doug Bolton Field,US,N/A,Ghost Airport
Etowah Fields Airport,US,N/A,Ghost Airport
K3 Helipad Heliport,US,N/A,Ghost Airport
Boone County Hospital Heliport,US,N/A,Ghost Airport
Morgan Ranch Airport,US,N/A,Ghost Airport
King Ultralightport,US,N/A,Ghost Airport
Diamond P. Field,US,N/A,Ghost Airport
Condell Medical Center Heliport,US,N/A,Ghost Airport
JMJ Landing Airport,US,N/A,Ghost Airport
St Claire Healthcare Heliport,US,N/A,Ghost Airport
Boone National Guard Heliport,US,N/A,Ghost Airport
Louisiana State Police Troop G Heliport,US,N/A,Ghost Airport
Windy Hill Heliport,US,N/A,Ghost Airport
Cuttyhunk Heliport,US,N/A,Ghost Airport
Garner Field,US,N/A,Ghost Airport
Nadeau's Airfield,US,N/A,Ghost Airport
Fairplains Airpark,US,N/A,Ghost Airport
Troy Airpark,US,N/A,Ghost Airport
Watts Field,US,N/A,Ghost Airport
Benes Service Airport,US,N/A,Ghost Airport
Iroquois Landing Seaplane Base,US,N/A,Ghost Airport
Penske Heliport,US,N/A,Ghost Airport
FFR Animas Landing Strip,US,N/A,Ghost Airport
McGee 02 Heliport,US,N/A,Ghost Airport
Paiute Meadows Airport,US,N/A,Ghost Airport
Hansen Heliport,US,N/A,Ghost Airport
Zimmerman Airport,US,N/A,Ghost Airport
Murtha Airport,US,N/A,Ghost Airport
War Veterans Colony Heliport,US,N/A,Ghost Airport
Rowena Dell Airport,US,N/A,Ghost Airport
Stottle Memorial Heliport,US,N/A,Ghost Airport
Lag III Heliport,US,N/A,Ghost Airport
Peco Berwyn Heliport,US,N/A,Ghost Airport
Cuylers Airport,PR,N/A,Ghost Airport
Miramar Residence Heliport,US,N/A,Ghost Airport
Harpers Airport,US,N/A,Ghost Airport
Wise River Airport,US,N/A,Ghost Airport
Matagorda Shore Facility Heliport,US,N/A,Ghost Airport
Baylor Medical Center Heliport,US,N/A,Ghost Airport
Ellis Field,US,N/A,Ghost Airport
Lucin Airport,US,N/A,Ghost Airport
The Greenhouse Airport,US,N/A,Ghost Airport
Northstar Aviation Heliport,US,N/A,Ghost Airport
Cawleys South Prairie Airport,US,N/A,Ghost Airport
Beer Airport,US,N/A,Ghost Airport
Fowler Field,US,N/A,Ghost Airport
JLS Farms Airport,US,N/A,Ghost Airport
Trapper T Heliport,US,N/A,Ghost Airport
Joe Clouds Seaplane Base,US,N/A,Ghost Airport
Highland Medical Center Heliport,US,N/A,Ghost Airport
Hscmh Heliport,US,N/A,Ghost Airport
Thompson International Aviation Airport,US,N/A,Ghost Airport
Grossmont Hospital Heliport,US,N/A,Ghost Airport
Lake Persimmon Airstrip,US,N/A,Ghost Airport
Ranger Heliport,US,N/A,Ghost Airport
HIA Airport,US,N/A,Ghost Airport
NGMC Lumpkin Hospital Heliport,US,N/A,Ghost Airport
Flying Y Ranch Airport,US,N/A,Ghost Airport
Davis Field Ultralightport,US,N/A,Ghost Airport
Wix Airport,US,N/A,Ghost Airport
Heinzman Airport,US,N/A,Ghost Airport
OSF St Anthony's Health Center Heliport,US,N/A,Ghost Airport
Valley Grain Heliport,US,N/A,Ghost Airport
Flying H Farms Airport,US,N/A,Ghost Airport
Damien Heliport,US,N/A,Ghost Airport
